userId,newsId,tag,timestamp
1,1,funny,1445714994
1,2,Highly quotable,1445714996
1,3,will ferrell,1445714992
1,4,Boxing story,1445715207
2,5,MMA,1445715200
2,6,Tom Hardy,1445715205
2,7,drugs,1445715054
2,8,Leonardo DiCaprio,1445715051
2,9,Martin Scorsese,1445715056
3,10,way too long,1169687325
3,1,Al Pacino,1462138765
3,2,gangster,1462138749
3,13,mafia,1462138755
3,14,Al Pacino,1461699306
3,16,Mafia,1461699303
3,17,holocaust,1455735472
4,18,true story,1455735479
4,19,twist ending,1456948283
4,20,Anthony Hopkins,1457650696
4,1,courtroom drama,1457650711
4,2,twist ending,1457650682
4,3,britpop,1457444500
5,4,indie record label,1457444592
5,5,music,1457444609
5,1,dumpster diving,1455060381
5,2,Sustainability,1455060452
5,3,romantic comedy,1419805413
5,4,wedding,1419805419
5,5,painter,1419805477
5,6,bloody,1419793962
5,7,black hole,1493093306
5,8,sci-fi,1493093332
5,9,time-travel,1493093356
6,10,fantasy,1528843929
6,1,magic board game,1528843932
6,2,Robin Williams,1528843907
6,13,beautiful scenery,1528152541
6,14,epic,1528152532
6,16,historical,1528152523
6,17,inspirational,1528152527
6,18,Medieval,1528152528
6,19,mel gibson,1528152521
6,20,Oscar (Best Cinematography),1528152539
6,1,revenge,1528152531
6,2,sword fight,1528152535
6,3,black comedy,1525636607
6,4,Christina Ricci,1525636685
6,5,Christopher Lloyd,1525636622
6,1,dark comedy,1525636610
6,2,family,1525636708
6,3,gothic,1525636609
6,4,Al Pacino,1525636728
6,5,Andy Garcia,1525636768
6,6,Classic,1525636752
7,7,Francis Ford Coppola,1525636752
7,8,mafia,1525636733
7,9,black comedy,1525636847
7,10,Christina Ricci,1525636867
7,1,Christopher Lloyd,1525636859
7,2,Family,1525636855
7,13,gothic,1525636849
7,14,quirky,1525636846
7,16,family,1525636883
7,17,funny,1525636885
7,18,Macaulay Culkin,1525636890
7,19,sequel,1525636887
8,20,animation,1525636903
8,1,Disney,1525636902
8,2,funny,1525636913
8,3,original,1525636917
8,4,Pixar,1525636901
8,5,sequel,1525636910
8,3114,Tom Hanks,1525636925
8,3578,ancient Rome,1528152504
8,3578,Epic,1528152469
8,3578,history,1528152467
8,3578,imdb top 250,1528152498
8,3578,revenge,1528152496
8,3578,Rome,1528152463
8,3578,Russell Crowe,1528152465
10,4223,Ed Harris,1528024869
11,4223,Jude Law,1528024854
12,4223,Rachel Weisz,1528024873
12,4223,sniper,1528024852
12,4223,World War II,1528024877
12,5388,Al Pacino,1530310809
12,5388,atmospheric,1530310959
12,5388,Hilary Swank,1530310952
12,5388,Robin Williams,1530310811
12,6058,sequel,1525555053
12,6058,violent,1525555051
12,6534,dogs,1525554096
12,6534,Eric Bana,1525554086
12,6534,mad scientist,1525554098
12,6534,marvel,1525554100
13,6541,captain nemo,1525554054
14,6541,comic book,1525554028
15,6541,gothic,1525554056
16,6541,Peta Wilson,1525554040
17,6541,Sean Connery,1525554026
17,6541,superhero,1525554051
17,6564,adventure,1525554439
17,6564,Angelina Jolie,1525554432
18,6564,heroine in tight suit,1525554441
18,7153,Adventure,1528152558
18,7153,ensemble cast,1528152578
18,7153,fantasy,1528152556
18,7153,fantasy world,1528152571
18,7153,great soundtrack,1528152575
19,7153,lord of the rings,1528152581
19,7153,scenic,1528152580
19,7153,stylized,1528152577
19,7153,Tolkien,1528152561
19,8641,hilarious,1526249138
19,8641,Steve Carell,1526249156
20,8641,Will Ferrell,1526249135
20,27660,animation,1525554490
20,27660,anime,1525554488
20,27660,cyberpunk,1525554486
20,27660,dark,1525554500
20,27660,Matrix,1525554493
20,27660,sci-fi,1525554491
20,27706,dark comedy,1526248598
20,27706,Jim Carrey,1526248575
20,27706,meryl streep,1526248580
